A1,8.69E+12,1,71001,80901,0,0,0,0,0,0,0,0
Y2301070105,殻運搬                                ,          ,                                        ,                                        ,                                        ,,,0,0,,,
V0011      ,／殻運搬処理                            ,ｍ3       ,現場～前田道路　L=3.0km As殻（車道）    ,"管工事(φ400～φ500),舗装工事           ",処分費含む　；東白川                    ,,,542,542,,,
Y2301070108,路盤掘削                              ,          ,                                        ,                                        ,                                        ,,,0,0,,,
S8500      ,すきとり                                ,        ,                                        ,廃路盤材                                ,；水道編                                ,,,310,310,,,
Y2301070109,発生土処理                            ,          ,                                        ,                                        ,                                        ,,,0,0,,,
V0005      ,／廃路盤材運搬処理                      ,ｍ3       ,現場～ＫＢＭ　L=23.3km                  ,廃路盤材                                ,処分費含む                              ,,,310,310,,,
V0003      ,／土砂運搬処理                          ,ｍ3       ,仮置場～ポートアイランド沖　L=18.6km    ,土砂                                    ,処分費含む                              ,,,3,3,,,
Y23010702  ,道路復旧工                            ,          ,                                        ,                                        ,                                        ,,,0,0,,,
Y2301070201,舗装復旧                              ,          ,                                        ,                                        ,                                        ,,,0,0,,,
S8625      ,舗装復旧工                              ,㎡        ,                                        ,                                        ,；水道編                                ,,,3120,3120,,,
Y23010703  ,区画線工                              ,          ,                                        ,                                        ,                                        ,,,0,0,,,
Y2301070301,溶融式区画線                          ,          ,                                        ,                                        ,                                        ,,,0,0,,,
SWB821210  ,区画線設置                              ,m         ,                                        ,                                        ,；06/01/01                              ,,,350,350,,,
Y230108    ,仮設工                                ,式        ,                                        ,                                        ,                                        ,,,1,1,,,
Y23010803  ,交通管理工                            ,          ,                                        ,                                        ,                                        ,,,0,0,,,
G0003      ,／交通誘導警備員                        ,式        ,                                        ,                                        ,                                        ,,,1,1,,,
Z0001      ,運搬費                                  ,式　　    ,                                        ,                                        ,                                        ,,,,,,,
YZ000000003,仮設材運搬費                          ,式        ,                                        ,                                        ,                                        ,,,0,0,,,
G1005      ,／仮設資材運搬                          ,式        ,積込み取卸し含む                        ,往復分                                  ,；現場～西部建設事務所　L=2.1km         ,,,1,1,,,
Z0002      ,準備費　　　　　　                      ,式　　    ,                                        ,                                        ,                                        ,,,,,,,
Z0003      ,事業損失防止施設費                      ,式　　    ,                                        ,                                        ,                                        ,,,,,,,
Z0004      ,安全費                                  ,式　　    ,                                        ,                                        ,                                        ,,,,,,,
Z0005      ,役務費                                  ,式　　    ,                                        ,                                        ,                                        ,,,,,,,
Z0006      ,技術管理費                              ,式　　    ,                                        ,                                        ,                                        ,,,,,,,
G1002      ,／通水試験費                            ,式        ,器具損料・諸雑費含む                    ,                                        ,                                        ,,,1,1,,,
G2001      ,／鋼管現場Ｘ線試験費(水道用)            ,式        ,16箇所                                  ,；埋設管                                ,                                        ,,,1,1,,,
G3001      ,／遠隔臨場                              ,式        ,端末料、通信料含む                      ,                                        ,                                        ,,,1,1,,,
Z0007      ,営繕費    　　　　　　　　　　　　　　　,式　　    ,                                        ,                                        ,                                        ,,,,,,,
Z0010      ,回航費                                  ,式　　    ,                                        ,                                        ,                                        ,,,,,,,
Z0011      ,水雷・傷害等保険料                      ,式　　    ,                                        ,                                        ,                                        ,,,,,,,
Z0013      ,支給品費　　　　　                      ,式　　    ,                                        ,                                        ,                                        ,,,,,,,
Z0009      ,現場環境改善費                          ,式　　    ,                                        ,                                        ,                                        ,,,,,,,
Z0019      ,現場環境改善費（施工箇所点在用）        ,式　　    ,                                        ,                                        ,                                        ,,,,,,,
Z0008      ,現場環境改善費（港湾）                  ,式　　    ,                                        ,                                        ,                                        ,,,,,,,
Z0018      ,現場環境改善費（港湾施工箇所点在用）    ,式　　    ,                                        ,                                        ,                                        ,,,,,,,
Z0040      ,工期延長等に伴う増加費用                ,式　　    ,                                        ,                                        ,                                        ,,,,,,,
Z0045      ,設計委託費                              ,式　　    ,                                        ,                                        ,                                        ,,,,,,,
Z0047      ,スクラップ                              ,式　　    ,                                        ,                                        ,                                        ,,,,,,,
G0007      ,／スクラップ                            ,式        ,撤去管・残管・仕切弁等                  ,；故銑A                                 ,                                        ,,,1,0,,,
